z Employment Rate,z Individual Income Normalized,z Fraction Married,z Incarceration Rate,z Number of Children Normalized
0.463290704,0.684883736,0.685059522,0.611352923,0.742324439
0.463290704,0.680890925,0.680865016,0.601762157,0.740632002
0.462196364,0.67530099,0.678767763,0.601762157,0.727092505
0.461102025,0.672106741,0.678767763,0.601762157,0.725400068
0.460007685,0.667315368,0.675621884,0.601762157,0.725400068
0.458913346,0.663522198,0.674573257,0.601762157,0.723707631
0.457819007,0.662523995,0.673524631,0.601762157,0.716937883
0.456724667,0.661525793,0.671427378,0.592171392,0.70678326
0.455630328,0.660327949,0.670378752,0.582580626,0.701705949
0.455630328,0.657932263,0.669330125,0.563399095,0.701705949
0.455630328,0.654538374,0.663038366,0.563399095,0.698321075
0.454535988,0.651144484,0.66198974,0.563399095,0.694936201
0.454535988,0.650745203,0.659892487,0.563399095,0.693243764
0.453441649,0.650345922,0.657795234,0.553808329,0.688166453
0.45125297,0.647550955,0.653600728,0.553808329,0.686474016
0.449064291,0.635971803,0.651503475,0.553808329,0.679704267
0.447969952,0.632378274,0.648357596,0.544217563,0.679704267
0.447969952,0.629782947,0.647308969,0.544217563,0.67801183
0.444686933,0.617604874,0.646260343,0.544217563,0.672934519
0.441403915,0.617405233,0.64416309,0.534626798,0.669549645
0.441403915,0.613212782,0.639968584,0.534626798,0.667857208
0.440309576,0.612414219,0.639968584,0.534626798,0.666164771
0.438120897,0.612414219,0.639968584,0.525036032,0.664472334
0.438120897,0.610018533,0.638919957,0.525036032,0.662779897
0.437026557,0.609419611,0.637871331,0.525036032,0.656010148
0.433743539,0.606225363,0.637871331,0.525036032,0.654317711
0.4326492,0.605626441,0.630530945,0.515445266,0.652625274
0.427177503,0.602831473,0.62633644,0.515445266,0.640778215
0.424988824,0.59784046,0.622141934,0.505854501,0.63739334
0.424988824,0.596642617,0.620044681,0.505854501,0.635700903
0.423894484,0.58686023,0.618996054,0.496263735,0.634008466
0.423894484,0.582468138,0.618996054,0.496263735,0.632316029
0.423894484,0.578475327,0.618996054,0.496263735,0.630623592
0.422800145,0.574282876,0.617947428,0.496263735,0.630623592
0.421705805,0.570888987,0.615850175,0.486672969,0.627238718
0.421705805,0.56470013,0.613752922,0.486672969,0.625546281
0.421705805,0.564101208,0.613752922,0.486672969,0.625546281
0.420611466,0.560507679,0.612704295,0.477082204,0.622161407
0.417328448,0.558511273,0.610607042,0.477082204,0.622161407
0.417328448,0.555915946,0.609558416,0.477082204,0.62046897
0.416234108,0.550126371,0.609558416,0.477082204,0.613699221
0.415139769,0.550126371,0.608509789,0.457900672,0.612006784
0.415139769,0.548329606,0.603266657,0.457900672,0.601852162
0.415139769,0.5463332,0.598023525,0.457900672,0.591697539
0.41295109,0.54613356,0.596974898,0.448309907,0.590005102
0.410762411,0.5389465,0.596974898,0.448309907,0.590005102
0.410762411,0.53535297,0.595926272,0.448309907,0.573080732
0.409668072,0.534754049,0.593829019,0.448309907,0.571388294
0.409668072,0.530561597,0.591731766,0.438719141,0.56800342
0.406385053,0.528365552,0.58753726,0.438719141,0.564618546
0.406385053,0.525770224,0.586488633,0.438719141,0.561233672
0.406385053,0.524572381,0.585440007,0.429128375,0.557848798
0.406385053,0.523174897,0.585440007,0.429128375,0.556156361
0.406385053,0.521777414,0.582294127,0.429128375,0.554463924
0.405290714,0.518583165,0.582294127,0.41953761,0.552771487
0.405290714,0.515189276,0.576002369,0.41953761,0.55107905
0.405290714,0.509000419,0.571807863,0.409946844,0.544309301
0.404196375,0.507802576,0.571807863,0.409946844,0.542616864
0.402007696,0.504807968,0.568661983,0.400356078,0.542616864
0.400913356,0.502811562,0.563418851,0.390765313,0.53923199
0.399819017,0.50181336,0.562370224,0.390765313,0.53923199
0.398724677,0.498818751,0.562370224,0.390765313,0.53923199
0.397630338,0.496023784,0.560272971,0.390765313,0.535847116
0.397630338,0.493827738,0.558175719,0.390765313,0.532462242
0.397630338,0.493628097,0.558175719,0.390765313,0.529077368
0.39434732,0.493228816,0.549786707,0.371583781,0.525692493
0.39325298,0.491232411,0.539300442,0.371583781,0.524000056
0.392158641,0.49083313,0.536154563,0.371583781,0.515537871
0.392158641,0.490633489,0.536154563,0.361993016,0.512152997
0.391064301,0.489236005,0.531960057,0.361993016,0.508768123
0.387781283,0.474861886,0.526716924,0.361993016,0.507075686
0.385592604,0.471268357,0.523571045,0.361993016,0.501998374
0.385592604,0.469471592,0.523571045,0.35240225,0.501998374
0.384498265,0.463881657,0.521473792,0.35240225,0.493536189
0.383403925,0.453699989,0.518327912,0.35240225,0.491843752
0.382309586,0.449307897,0.505744395,0.35240225,0.488458878
0.380120907,0.448908616,0.498404009,0.35240225,0.476611818
0.377932228,0.44671257,0.497355383,0.35240225,0.476611818
0.376837889,0.442520119,0.49525813,0.342811484,0.474919381
0.375743549,0.442320478,0.494209503,0.342811484,0.474919381
0.372460531,0.437928386,0.494209503,0.342811484,0.473226944
0.371366192,0.437928386,0.493160877,0.333220719,0.471534507
0.371366192,0.437129824,0.490014998,0.333220719,0.46984207
0.371366192,0.435333059,0.487917745,0.333220719,0.468149633
0.371366192,0.43173953,0.485820492,0.333220719,0.468149633
0.368083173,0.430142405,0.484771865,0.323629953,0.466457196
0.366988834,0.427946359,0.482674612,0.323629953,0.466457196
0.363705816,0.422356424,0.482674612,0.323629953,0.463072322
0.362611476,0.420160378,0.481625986,0.323629953,0.461379885
0.361517137,0.419761097,0.481625986,0.314039187,0.459687447
0.358234118,0.416566848,0.479528733,0.314039187,0.45799501
0.35604544,0.412174756,0.475334227,0.314039187,0.456302573
0.35604544,0.410777273,0.470091094,0.314039187,0.452917699
0.3549511,0.401394167,0.469042468,0.304448422,0.439378203
0.3549511,0.399397762,0.464847962,0.304448422,0.437685765
0.353856761,0.396403154,0.464847962,0.304448422,0.437685765
0.351668082,0.392609983,0.463799336,0.294857656,0.432608454
0.351668082,0.392410343,0.463799336,0.294857656,0.432608454
0.351668082,0.392210702,0.462750709,0.294857656,0.430916017
0.351668082,0.391811421,0.447021312,0.294857656,0.425838706
0.349479403,0.384824002,0.44177818,0.294857656,0.425838706
0.349479403,0.375840178,0.4386323,0.294857656,0.424146269
0.345102045,0.373244851,0.435486421,0.294857656,0.424146269
0.345102045,0.372645929,0.432340541,0.28526689,0.422453832
0.345102045,0.371847367,0.429194662,0.28526689,0.420761395
0.340724688,0.366457073,0.429194662,0.28526689,0.417376521
0.340724688,0.362863543,0.427097409,0.28526689,0.417376521
0.340724688,0.357872529,0.426048782,0.28526689,0.415684083
0.340724688,0.354877921,0.42080565,0.28526689,0.415684083
0.33634733,0.354079359,0.418708397,0.275676125,0.412299209
0.33634733,0.351683672,0.417659771,0.275676125,0.412299209
0.33634733,0.349487626,0.416611144,0.266085359,0.412299209
0.334158651,0.349088345,0.412416638,0.266085359,0.410606772
0.334158651,0.342300567,0.412416638,0.256494593,0.407221898
0.334158651,0.340304162,0.405076253,0.256494593,0.407221898
0.331969972,0.325730402,0.400881747,0.256494593,0.403837024
0.330875633,0.32133831,0.396687241,0.256494593,0.40045215
0.329781293,0.319142264,0.395638615,0.246903828,0.40045215
0.326498275,0.315149453,0.391444109,0.246903828,0.397067276
0.326498275,0.314949813,0.38200647,0.246903828,0.393682401
0.326498275,0.305766348,0.380957844,0.246903828,0.386912653
0.324309596,0.302572099,0.377811965,0.246903828,0.386912653
0.322120917,0.302572099,0.376763338,0.227722296,0.385220216
0.321026578,0.300974975,0.375714712,0.227722296,0.383527779
0.321026578,0.293787915,0.373617459,0.227722296,0.381835342
0.321026578,0.293588275,0.369422953,0.227722296,0.381835342
0.321026578,0.292989353,0.368374326,0.218131531,0.380142905
0.319932238,0.292590072,0.368374326,0.218131531,0.380142905
0.318837899,0.29179151,0.366277073,0.218131531,0.380142905
0.318837899,0.291392229,0.365228447,0.218131531,0.378450468
0.31774356,0.291192588,0.359985314,0.208540765,0.376758031
0.315554881,0.290992948,0.359985314,0.208540765,0.375065594
0.315554881,0.290194386,0.354742182,0.198949999,0.375065594
0.314460541,0.290194386,0.350547676,0.189359234,0.373373157
0.314460541,0.289994745,0.350547676,0.189359234,0.373373157
0.312271862,0.286001934,0.34949905,0.189359234,0.369988282
0.312271862,0.279413796,0.34635317,0.189359234,0.368295845
0.311177523,0.279214156,0.345304544,0.179768468,0.368295845
0.311177523,0.278814875,0.342158664,0.179768468,0.364910971
0.310083184,0.27701811,0.341110038,0.179768468,0.361526097
0.308988844,0.274422783,0.341110038,0.179768468,0.35983366
0.307894505,0.270629613,0.340061411,0.179768468,0.358141223
0.306800165,0.269032488,0.339012785,0.170177702,0.358141223
0.305705826,0.268832848,0.337964158,0.170177702,0.354756349
0.304611486,0.265638599,0.335866905,0.170177702,0.354756349
0.303517147,0.259649383,0.332721026,0.170177702,0.354756349
0.302422808,0.257852618,0.332721026,0.170177702,0.353063912
0.300234129,0.257652977,0.3316724,0.170177702,0.349679038
0.299139789,0.256854415,0.329575147,0.160586937,0.349679038
0.29804545,0.254259088,0.32852652,0.160586937,0.346294163
0.29695111,0.254059448,0.327477894,0.160586937,0.342909289
0.29695111,0.248868794,0.325380641,0.160586937,0.339524415
0.294762432,0.248269872,0.322234761,0.150996171,0.334447104
0.293668092,0.245874186,0.321186135,0.141405405,0.334447104
0.293668092,0.245674545,0.314894376,0.141405405,0.327677356
0.291479413,0.242480296,0.313845749,0.141405405,0.325984918
0.291479413,0.241082813,0.312797123,0.141405405,0.325984918
0.289290734,0.235093596,0.309651244,0.141405405,0.324292481
0.287102056,0.234494675,0.305456738,0.13181464,0.324292481
0.286007716,0.233097191,0.303359485,0.13181464,0.31921517
0.284913377,0.229902942,0.302310858,0.122223874,0.312445422
0.284913377,0.228705099,0.298116352,0.122223874,0.300598362
0.282724698,0.217125948,0.298116352,0.122223874,0.300598362
0.281630358,0.215928104,0.294970473,0.122223874,0.298905925
0.280536019,0.213732058,0.29287322,0.122223874,0.298905925
0.27944168,0.208142123,0.291824593,0.122223874,0.297213488
0.277253001,0.205147515,0.288678714,0.122223874,0.292136177
0.276158661,0.204149312,0.286581461,0.122223874,0.292136177
0.276158661,0.200555783,0.286581461,0.122223874,0.29044374
0.273969982,0.200356142,0.283435582,0.112633108,0.288751303
0.272875643,0.199158299,0.282386955,0.112633108,0.288751303
0.269592625,0.190973037,0.282386955,0.112633108,0.285366429
0.269592625,0.190573756,0.281338329,0.112633108,0.281981554
0.268498285,0.187978429,0.279241076,0.112633108,0.275211806
0.266309606,0.186580945,0.279241076,0.112633108,0.265057184
0.265215267,0.183985618,0.277143823,0.112633108,0.263364747
0.265215267,0.18119065,0.272949317,0.112633108,0.263364747
0.264120928,0.17739748,0.27190069,0.103042343,0.256594998
0.263026588,0.172606107,0.267706184,0.103042343,0.254902561
0.260837909,0.171807545,0.264560305,0.093451577,0.253210124
0.260837909,0.167215812,0.261414426,0.093451577,0.253210124
0.25974357,0.167016172,0.258268546,0.093451577,0.24982525
0.25974357,0.166816531,0.256171293,0.083860811,0.244747939
0.25864923,0.164021564,0.25407404,0.074270046,0.243055502
0.257554891,0.163223001,0.253025414,0.074270046,0.243055502
0.257554891,0.153041334,0.247782281,0.074270046,0.239670628
0.256460552,0.152242772,0.244636402,0.074270046,0.239670628
0.255366212,0.149248164,0.243587775,0.074270046,0.237978191
0.255366212,0.148848882,0.242539149,0.074270046,0.236285753
0.255366212,0.147651039,0.240441896,0.06467928,0.231208442
0.253177533,0.138467574,0.238344643,0.055088514,0.231208442
0.253177533,0.128086266,0.23624739,0.055088514,0.226131131
0.249894515,0.124093455,0.23624739,0.055088514,0.226131131
0.248800176,0.121897409,0.235198764,0.055088514,0.226131131
0.247705836,0.120100644,0.234150137,0.055088514,0.224438694
0.246611497,0.116906396,0.225761125,0.055088514,0.222746257
